0:0:0:0:0:0:0:1 - - [27/Apr/2019:11:02:05 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Apr/2019:11:02:25 +0900] "GET /DIV/box-shadow.html HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [27/Apr/2019:11:02:25 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Apr/2019:11:02:56 +0900] "GET /DIV/box-shadow.html HTTP/1.1" 200 850
0:0:0:0:0:0:0:1 - - [27/Apr/2019:11:02:56 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Apr/2019:11:05:16 +0900] "GET /DIV/box-shadow.html HTTP/1.1" 200 997
0:0:0:0:0:0:0:1 - - [27/Apr/2019:11:05:16 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Apr/2019:11:05:35 +0900] "GET /DIV/box-shadow.html HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [27/Apr/2019:11:05:35 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Apr/2019:11:06:50 +0900] "GET /DIV/box-shadow.html HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [27/Apr/2019:11:06:50 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Apr/2019:11:08:14 +0900] "GET /DIV/box-shadow.html HTTP/1.1" 200 1299
0:0:0:0:0:0:0:1 - - [27/Apr/2019:11:08:14 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Apr/2019:11:08:16 +0900] "GET /DIV/box-shadow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2019:11:08:16 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Apr/2019:11:08:16 +0900] "GET /DIV/box-shadow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2019:11:08:16 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Apr/2019:11:08:17 +0900] "GET /DIV/box-shadow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2019:11:08:17 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Apr/2019:11:08:17 +0900] "GET /DIV/box-shadow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2019:11:08:17 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Apr/2019:11:08:17 +0900] "GET /DIV/box-shadow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2019:11:08:17 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Apr/2019:11:08:17 +0900] "GET /DIV/box-shadow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2019:11:08:17 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Apr/2019:11:08:18 +0900] "GET /DIV/box-shadow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2019:11:08:18 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Apr/2019:11:08:18 +0900] "GET /DIV/box-shadow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2019:11:08:18 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Apr/2019:19:11:12 +0900] "GET /DIV/box-shadow.html HTTP/1.1" 200 1299
